author,author_type,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,year_of_construction,house_material_type,finish_type,living_meters,kitchen_meters,district,street,house_number,underground,residential_complex,price_per_m2
Sminex,developer,Москва,sale,flat,3,6,2,120.3,272480000.0,2026,Монолитный,Без отделки,"35,8 м²",37 м²,Басманный,Потаповский переулок,5С4,Чистые пруды,Исторический дом ,2265004.156275977
Аврора Проперти,real_estate_agent,Москва,sale,flat,4,45,4,107.2,39000000.0,2024,-1,-1,-1,12 м²,Пресненский,Шмитовский проезд,39к3,Шелепиха,Headliner,363805.9701492537
Аврора Проперти,real_estate_agent,Москва,sale,flat,4,45,4,112.1,39000000.0,2024,-1,-1,-1,12 м²,Пресненский,Шмитовский проезд,39к3,Шелепиха,Headliner,347903.6574487065
Галс-Девелопмент,developer,Москва,sale,flat,2,6,2,73.46,183750000.0,2025,Монолитно-кирпичный,Без отделки,"41,2 м²",-1,Замоскворечье,Космодамианская набережная,4/22С8,Новокузнецкая,Клубный дом Космо 4/22,2501361.28505309
Аврора Проперти,real_estate_agent,Москва,sale,flat,2,45,4,109.9,40000000.0,2024,-1,-1,-1,12 м²,Пресненский,Шмитовский проезд,39к3,Шелепиха,Headliner,363967.24294813466
MR Group,developer,Москва,sale,flat,3,36,2,61.7,52821370.0,2027,Монолитный,Без отделки,-1,-1,Беговой,Северный ао,,Белорусская,Слава ЖК,856100.0
Аврора Проперти,real_estate_agent,Москва,sale,flat,12,45,4,104.3,40000000.0,2024,-1,-1,-1,12 м²,Пресненский,Шмитовский проезд,39к3,Шелепиха,Headliner,383509.1083413231
Аврора Проперти,real_estate_agent,Москва,sale,flat,33,45,3,100.3,41000000.0,2024,-1,-1,-1,12 м²,Пресненский,Шмитовский проезд,39к3,Шелепиха,Headliner,408773.67896311067
Аврора Проперти,real_estate_agent,Москва,sale,flat,13,14,3,76.6,46000000.0,1985,-1,-1,-1,10 м²,Якиманка,Калужская площадь,1К1,Октябрьская,,600522.1932114883
Sminex,developer,Москва,sale,flat,2,5,2,88.7,207730000.0,2025,"Монолитно-кирпичный, монолитный","Без отделки, чистовая","34,2 м²","30,5 м²",Тверской,,,Площадь Революции,Ильинка 3/8 ЖК,2341939.1206313414
Аврора Проперти,real_estate_agent,Москва,sale,flat,20,45,4,120.3,48000000.0,2024,-1,-1,-1,15 м²,Пресненский,Шмитовский проезд,39к3,Шелепиха,Headliner,399002.49376558606
Upside Development,developer,Москва,sale,flat,11,12,2,77.0,47740000.0,2020,Монолитно-кирпичный,-,-1,-1,Даниловский,2-я Рощинская ,1,Тульская,Данилов дом,620000.0
Аврора Проперти,real_estate_agent,Москва,sale,flat,3,5,2,44.27,49400000.0,2021,-1,-1,-1,8 м²,Замоскворечье,Озерковская набережная,6,Новокузнецкая,Bogenhouse,1115879.82832618
UNIQ Development,developer,Москва,sale,flat,6,25,2,61.6,51128000.0,2027,-1,Чистовая,"55,3 м²",-1,Фили-Давыдково,43-й кв-л,,Кунцевская,Springs,830000.0
NF GROUP,real_estate_agent,Москва,sale,flat,1,6,4,220.0,426503999.0,2002,-1,-1,-1,20 м²,Хамовники,Молочный переулок,1,Парк Культуры,Молочный 1,1938654.540909091
Среда,developer,Москва,sale,flat,2,44,2,54.58,21969978.0,2027,Монолитный,"Без отделки, предчистовая","22,6 м²","20,8 м²",Кунцево,48-й кв-л,,Кунцевская,Среда на Кутузовском ЖК,402527.9956027849
Sminex,developer,Москва,sale,flat,2,14,2,85.7,192610000.0,2025,Монолитный,Без отделки,-1,-1,Якиманка,,,Новокузнецкая,Лаврушинский ЖК,2247491.2485414236
Аврора Проперти,real_estate_agent,Москва,sale,flat,22,30,4,169.7,180000000.0,2008,-1,-1,-1,18 м²,Очаково-Матвеевское,Нежинская ,1к2,Давыдково,Кутузовская Ривьера,1060695.3447259872
NF GROUP,real_estate_agent,Москва,sale,flat,6,21,4,224.0,260000000.0,2008,-1,-1,-1,20 м²,Пресненский,Большой Тишинский переулок,10С1,Краснопресненская,"Большой Тишинский переулок, 10с1",1160714.2857142857
NF GROUP,real_estate_agent,Москва,sale,flat,4,7,-1,167.52,402048000.0,2026,-1,-1,-1,15 м²,Мещанский, Кузнецкий Мост,12/3С1,Кузнецкий мост,Kuznetsky Most 12 by Lalique,2400000.0
MR Group,developer,Москва,sale,flat,4,17,3,83.33,37540165.0,2027,-1,Без отделки,"55,2 м²",-1,Алексеевский,,,Улица Сергея Эйзенштейна,Мира ЖК,450500.0
Виктория Бобу,realtor,Москва,sale,flat,7,9,1,19.3,6280000.0,2023,-1,-1,18 м²,"1,3 м²",Старое Крюково,Зеленоград,к814,Зеленоград — Крюково,My Space в Зеленограде,325388.6010362694
MR Group,developer,Москва,sale,flat,7,24,2,54.24,27450864.0,2027,-1,Без отделки,"34,7 м²",-1,Алексеевский,,,Улица Сергея Эйзенштейна,Мира ЖК,506100.0
NF GROUP,real_estate_agent,Москва,sale,flat,6,16,2,160.0,280000000.0,2006,-1,-1,-1,15 м²,Якиманка, Большая Якиманка,22К3,Полянка,Коперник,1750000.0
Kalinka Group,real_estate_agent,Москва,sale,flat,5,6,-1,400.0,700000000.0,-1,-1,-1,-1,120 м²,Замоскворечье,Садовническая набережная,7,Новокузнецкая,BALCHUG VIEWPOINT,1750000.0
Tekta Group,developer,Москва,sale,flat,10,27,4,86.9,41681593.0,2026,Монолитный,"Без отделки, предчистовая","57,2 м²",-1,Даниловский,,1,Крестьянская застава,Эра ЖК,479650.0920598389
NF GROUP,real_estate_agent,Москва,sale,flat,2,6,-1,164.9,215000000.0,2003,-1,-1,-1,15 м²,Хамовники,1-й Зачатьевский переулок,6С1,Кропоткинская,,1303820.4972710733
Третий Рим,developer,Москва,sale,flat,3,8,2,97.7,268675000.0,2026,Монолитно-кирпичный,Чистовая,"36,8 м²",-1,Арбат,Никитский бульвар,6/20,Арбатская,Никитский-6,2750000.0
Beri,real_estate_agent,Москва,sale,flat,6,7,3,90.4,90400000.0,1914,-1,-1,"43,5 м²","22,5 м²",Арбат,Трубниковский переулок,26С1,Смоленская,,999999.9999999999
Донстрой,developer,Москва,sale,flat,9,14,3,127.9,100068960.0,2026,Монолитный,"Без отделки, чистовая с мебелью","42,7 м²","35,3 м²",Раменки, Сергея Бондарчука,2,Мичуринский проспект,Река,782400.0
ID 54264704,homeowner,Москва,sale,flat,18,19,2,59.2,20300000.0,2022,-1,-1,"25,9 м²","16,4 м²",Чертаново Южное,Варшавское шоссе,170Ек7,Лесопарковая,Зеленая Вертикаль,342905.4054054054
Kalinka Group,real_estate_agent,Москва,sale,flat,13,14,3,71.1,67000000.0,2022,-1,-1,"59,9 м²","6,2 м²",Раменки,проспект Генерала Дорохова,39к1В,Поклонная,Собрание клубных домов West Garden,942334.7398030943
Whitewill,real_estate_agent,Москва,sale,flat,4,7,2,175.0,448157279.0,-1,-1,-1,145 м²,"9,2 м²",Хамовники,Пречистенская набережная,17-19,Кропоткинская,Barkli Plaza,2560898.737142857
NF GROUP,real_estate_agent,Москва,sale,flat,2,4,4,212.1,424200000.0,2019,-1,-1,-1,20 м²,Раменки,Минская ,2Вк5,Минская,Снегири Эко,2000000.0
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,Москва,sale,flat,4,5,4,100.0,44000000.0,1958,-1,-1,"57,5 м²",22 м²,Тверской,2-й Волконский переулок,12,Цветной бульвар,,440000.0
NF GROUP,real_estate_agent,Москва,sale,flat,47,55,4,108.36,50000000.0,2025,-1,-1,-1,15 м²,Марьина роща, 4-я Марьиной рощи,12К1,Марьина Роща,Mod,461424.8800295312
Tekta Group,developer,Москва,sale,flat,7,27,1,28.1,18852263.0,2026,Монолитный,"Без отделки, предчистовая","15,6 м²",-1,Даниловский,,1,Крестьянская застава,Эра ЖК,670899.0391459074
