author,author_type,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,year_of_construction,house_material_type,finish_type,living_meters,kitchen_meters,district,street,house_number,underground,residential_complex,price_per_m2
Главстрой,developer,Москва,sale,flat,4,26,3,103.7,43449408.0,2025,Монолитно-кирпичный,Без отделки,"35,2 м²","25,5 м²",Филевский парк,Береговой проезд,2,Фили,Береговой-2,418991.3982642237
CENTURY 21 Street Realty,real_estate_agent,Москва,sale,flat,2,4,3,140.0,172514904.0,1903,-1,-1,-1,26 м²,Мещанский,Рождественский бульвар,10/7С1,Трубная,,1232249.3142857142
РГ-Девелопмент,developer,Москва,sale,flat,2,9,3,60.7,21757854.0,2026,"Монолитно-кирпичный, монолитный","Без отделки, чистовая","39,1 м²","5,6 м²",Головинский,Северный ао,,Коптево,Михалковский ЖК,358448.9950576606
NF GROUP,real_estate_agent,Москва,sale,flat,3,6,3,112.8,260000000.0,2024,-1,-1,-1,-1,Тверской, Большая Дмитровка,9С5,Театральная,Большая Дмитровка IX,2304964.5390070924
Sminex,developer,Москва,sale,flat,2,14,1,72.7,158430000.0,2025,Монолитный,Без отделки,-1,-1,Якиманка,,,Новокузнецкая,Лаврушинский ЖК,2179229.711141678
Whitewill,real_estate_agent,Москва,sale,flat,11,33,2,85.4,44000000.0,-1,-1,-1,40 м²,15 м²,Щукино,Авиационная ,77к2,Щукинская,Алые Паруса,515222.48243559717
Kalinka Group,real_estate_agent,Москва,sale,flat,11,21,4,165.35,179000000.0,2021,-1,-1,-1,-1,Пресненский, Костикова,4к1,Улица 1905 года,Lucky,1082552.1620804355
ГК Сумма Элементов,developer,Москва,sale,flat,5,85,1,46.54,41178008.0,2027,Монолитный,Без отделки,"26,2 м²",-1,Пресненский,Московский международный деловой центр Москва-Сити тер.,,Москва-Сити,Дом Дау,884787.4516544908
Whitewill,real_estate_agent,Москва,sale,flat,12,19,5,174.0,145500000.0,-1,-1,-1,125 м²,4 м²,Раменки,Ломоносовский проспект,25к5,Университет,Dominion,836206.8965517242
Kalinka Group,real_estate_agent,Москва,sale,flat,7,10,4,168.0,230000000.0,-1,-1,-1,-1,11 м²,Басманный,Казарменный переулок,3,Курская,Дом на Покровском бульваре,1369047.619047619
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,Москва,sale,flat,2,6,4,170.0,99000000.0,1912,-1,-1,85 м²,50 м²,Замоскворечье,1-й Новокузнецкий переулок,10С1,Павелецкая,,582352.9411764706
Contact Real Estate,real_estate_agent,Москва,sale,flat,3,6,3,130.6,274260000.0,2023,-1,-1,-1,25 м²,Якиманка,Софийская набережная,18,Боровицкая,"Золотой, жилой квартал",2100000.0
Sminex,developer,Москва,sale,flat,20,21,1,25.2,21650000.0,2025,Монолитный,Без отделки,10 м²,"6,8 м²",Марфино, Академика Королева,21,Бутырская,Дом Достижение,859126.9841269841
Whitewill,real_estate_agent,Москва,sale,flat,5,16,4,147.0,300000000.0,-1,-1,-1,100 м²,20 м²,Хамовники, Усачева,13,Спортивная,Садовые кварталы,2040816.3265306123
Whitewill,real_estate_agent,Москва,sale,flat,8,21,4,163.2,187500000.0,-1,-1,-1,"61,1 м²",45 м²,Пресненский, Костикова,4к1,Улица 1905 года,Lucky,1148897.0588235294
Донстрой,developer,Москва,sale,flat,4,12,2,88.7,78792210.0,2026,Монолитный,"Без отделки, чистовая с мебелью","28,9 м²","23,8 м²",Раменки, Сергея Бондарчука,2,Мичуринский проспект,Река,888300.0
Intermark Real Estate,real_estate_agent,Москва,sale,flat,8,12,4,172.0,361200000.0,2014,-1,-1,103 м²,13 м²,Хамовники,Трубецкая ,12,Фрунзенская,Садовые кварталы,2100000.0
Intermark Real Estate,real_estate_agent,Москва,sale,flat,3,5,2,52.0,39000000.0,1956,-1,-1,29 м²,6 м²,Донской,4-й Верхний Михайловский проезд,4к1,Шаболовская,,750000.0
ANT Development,developer,Москва,sale,flat,2,10,2,59.8,85514000.0,2025,Монолитный,Чистовая,"34,3 м²",-1,Дорогомилово, Братьев Фонченко,1к8,Парк Победы,Victory Park Residences,1430000.0
NF GROUP,real_estate_agent,Москва,sale,flat,5,7,4,172.26,480000000.0,2015,-1,-1,-1,15 м²,Хамовники, Ефремова,19к4,Спортивная,Knightsbridge Private Park,2786485.545106235
Contact Real Estate,real_estate_agent,Москва,sale,flat,18,21,4,273.0,440000000.0,-1,-1,-1,-1,101 м²,Пресненский, Костикова,4к1,Улица 1905 года,Lucky,1611721.6117216118
Пионер,developer,Москва,sale,flat,2,18,2,48.4,40358833.0,2028,Монолитный,"Без отделки, чистовая",-1,-1,Донской,м. Ленинский проспект,,Ленинский проспект,Шифт ЖК,833860.1859504132
NIKA ESTATE,real_estate_agent,Москва,sale,flat,2,5,-1,305.0,450000000.0,2019,-1,-1,250 м²,25 м²,Хамовники, Усачева,11К,Спортивная,Садовые кварталы,1475409.8360655739
СТРОЙИНВЕСТ,real_estate_agent,Москва,sale,flat,15,16,2,54.0,16490000.0,-1,-1,-1,29 м²,11 м²,Дмитровский,Вагоноремонтная ,5К1,Лианозово,,305370.3703703704
АБ Риэлти,real_estate_agent,Москва,sale,flat,2,6,-1,305.0,450000000.0,-1,-1,-1,-1,40 м²,Хамовники, Усачева,11К,Спортивная,Садовые кварталы,1475409.8360655739
Whitewill,real_estate_agent,Москва,sale,flat,2,4,3,140.0,172514904.0,-1,-1,-1,75 м²,30 м²,Мещанский,Рождественский бульвар,10/7С1,Трубная,,1232249.3142857142
NF GROUP,real_estate_agent,Москва,sale,flat,11,11,5,238.8,490000000.0,2020,-1,-1,-1,20 м²,Хамовники, Усачева,11И,Спортивная,Садовые кварталы,2051926.2981574538
MHEstate - Элитная недвижимость,real_estate_agent,Москва,sale,flat,8,14,3,86.1,47000000.0,2018,-1,-1,55 м²,20 м²,Даниловский, Архитектора Щусева,1,ЗИЛ,ЗИЛАРТ,545876.887340302
DAR,developer,Москва,sale,flat,5,44,2,53.4,25418344.0,2028,Монолитно-кирпичный,"Без отделки, предчистовая",-1,-1,Щукино, Маршала Бирюзова,,Октябрьское поле,Rakurs,475998.95131086145
Private Broker,real_estate_agent,Москва,sale,flat,15,15,-1,215.0,315000000.0,2007,-1,-1,-1,-1,Хамовники,Саввинская набережная,9,Киевская,,1465116.2790697673
NF GROUP,real_estate_agent,Москва,sale,flat,3,9,4,207.1,239000000.0,2005,-1,-1,-1,18 м²,Арбат,Поварская ,28С2,Арбатская,,1154031.868662482
NIKA ESTATE,real_estate_agent,Москва,sale,flat,14,15,3,133.91,227647000.0,2022,-1,-1,"98,9 м²",30 м²,Хамовники, Усачева,15,Спортивная,Садовые кварталы,1700000.0
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,Москва,sale,flat,1,5,3,80.0,73000000.0,1910,-1,-1,"60,2 м²","13,2 м²",Хамовники,Пожарский переулок,10,Кропоткинская,,912500.0
ID 413522,realtor,Москва,sale,flat,3,14,3,105.2,192850000.0,-1,-1,-1,65 м²,9 м²,Хамовники, Усачева,15А,Спортивная,Садовые кварталы,1833174.9049429658
Whitewill,real_estate_agent,Москва,sale,flat,3,12,4,102.0,102000000.0,-1,-1,-1,69 м²,18 м²,Раменки,проспект Генерала Дорохова,39к1Е,Минская,Собрание клубных домов West Garden,1000000.0
Донстрой,developer,Москва,sale,flat,11,23,3,119.1,185676900.0,2028,Монолитно-кирпичный,"Без отделки, чистовая, чистовая с мебелью","38,1 м²","51,2 м²",Замоскворечье,Большая Татарская ,,Новокузнецкая,Татарская 35,1559000.0
Времена года,real_estate_agent,Москва,sale,flat,14,15,3,133.91,227647000.0,-1,-1,-1,"71,5 м²","8,1 м²",Хамовники, Усачева,15,Спортивная,Садовые кварталы,1700000.0
BARNES International Realty,real_estate_agent,Москва,sale,flat,5,9,3,117.0,63000000.0,2013,-1,-1,-1,25 м²,Тверской,Большой Каретный переулок,24с2,Цветной бульвар,Каретный плаза,538461.5384615385
Kalinka Group,real_estate_agent,Москва,sale,flat,7,7,-1,443.8,721775999.0,2009,-1,-1,-1,-1,Хамовники,переулок 1-й Тружеников,17А,Киевская,Дом в Хамовниках,1626354.2113564669
Trust Realty,real_estate_agent,Москва,sale,flat,6,12,3,150.0,115000000.0,2005,-1,-1,80 м²,17 м²,Замоскворечье,Климентовский переулок,2,Новокузнецкая,,766666.6666666666
Kalinka Group,real_estate_agent,Москва,sale,flat,15,15,5,215.0,315000000.0,2007,-1,-1,-1,-1,Хамовники,Саввинская набережная,9,Киевская,,1465116.2790697673
BARNES International Realty,real_estate_agent,Москва,sale,flat,2,6,2,137.6,196847999.0,2011,-1,-1,-1,65 м²,Таганский,Серебряническая набережная,19,Чкаловская,АртХаус,1430581.3880813953
MR Group,developer,Москва,sale,flat,24,47,3,110.57,49480075.0,2027,Монолитный,Предчистовая,"52,7 м²","33,2 м²",Хорошево-Мневники,,,Полежаевская,Джойс ЖК,447500.0
hoomie,real_estate_agent,Москва,sale,flat,6,20,1,24.93,12623305.0,2024,-1,-1,"12,3 м²","4,6 м²",Даниловский,Автозаводская ,26,Тульская,FORST,506349.97994384274
BARNES International Realty,real_estate_agent,Москва,sale,flat,5,5,4,95.4,95000000.0,1909,-1,-1,-1,10 м²,Тверской, Петровка,17С3,Театральная,,995807.1278825995
Tekta Group,developer,Москва,sale,flat,7,34,2,39.2,18659200.0,2026,Монолитно-кирпичный,Без отделки,"23,6 м²",-1,Нагорный,Электролитный проезд,12Б,Нагорная,Twelve,475999.99999999994
MR Group,developer,Москва,sale,flat,5,36,1,28.4,26573880.0,2027,Монолитный,Без отделки,-1,-1,Беговой,Северный ао,,Белорусская,Слава ЖК,935700.0
Whitewill,real_estate_agent,Москва,sale,flat,31,38,5,159.3,112500000.0,-1,-1,-1,113 м²,10 м²,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк,706214.6892655367
BARNES International Realty,real_estate_agent,Москва,sale,flat,7,7,5,266.04,561344400.0,2019,-1,-1,-1,"8,9 м²",Якиманка, Большая Полянка,44,Полянка,Полянка/44,2110000.0
Мангазея,developer,Москва,sale,flat,7,24,3,91.4,47080140.0,2027,Монолитный,Без отделки,-1,-1,Левобережный,,,Беломорская,Мангазея на Речном ЖК,515099.99999999994
Apple Real Estate,real_estate_agent,Москва,sale,flat,2,4,4,134.5,82000000.0,-1,-1,-1,78 м²,10 м²,Пресненский,Сытинский тупик,1С4,Тверская,,609665.4275092937
Stenoy,developer,Москва,sale,flat,4,12,2,50.4,29836800.0,2026,Монолитно-кирпичный,"Без отделки, черновая, чистовая",21 м²,16 м²,Преображенское,Электрозаводская ,60,Преображенская площадь,ARTEL,592000.0
Whitewill,real_estate_agent,Москва,sale,flat,24,36,2,71.8,68500000.0,-1,-1,-1,48 м²,10 м²,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк,954038.9972144847
Intermark Real Estate,real_estate_agent,Москва,sale,flat,3,6,5,340.0,350000000.0,2001,-1,-1,288 м²,18 м²,Филевский парк,Звенигородская ,16к2,Кунцевская,,1029411.7647058824
AFI Development,developer,Москва,sale,flat,16,53,3,84.2,37777213.0,2024,Монолитно-кирпичный,"Предчистовая, чистовая",-1,-1,Свиблово,проезд Серебрякова,11к2,Ботанический сад,Afi Tower,448660.486935867
NF GROUP,real_estate_agent,Москва,sale,flat,3,5,5,220.9,256000000.0,2019,-1,-1,-1,20 м²,Раменки,Минская ,2Вк3,Минская,Снегири Эко,1158895.4277953824
OWNSTONE,real_estate_agent,Москва,sale,flat,6,20,3,110.0,115000000.0,2021,-1,-1,-1,17 м²,Пресненский,Средний Тишинский переулок,5,Белорусская,Дом на Тишинке,1045454.5454545454
Dominanta,developer,Москва,sale,flat,4,41,2,60.7,43339800.0,2024,Монолитно-кирпичный,Предчистовая,"23,5 м²","4,3 м²",Раменки,1-й Сетуньский проезд,8,Кутузовская,Hide,714000.0
Monumental Group,real_estate_agent,Москва,sale,flat,2,6,4,170.0,99000000.0,1912,-1,-1,114 м²,14 м²,Замоскворечье,1-й Новокузнецкий переулок,10С1,Павелецкая,,582352.9411764706
BARNES International Realty,real_estate_agent,Москва,sale,flat,6,7,4,169.8,225834000.0,2019,-1,-1,-1,10 м²,Якиманка, Большая Полянка,44,Полянка,Полянка/44,1330000.0
CENTURY 21 Street Realty,real_estate_agent,Москва,sale,flat,9,12,3,106.6,76000000.0,2013,-1,-1,"56,4 м²","18,8 м²",Замоскворечье,Мытная ,7с1,Серпуховская,Английский квартал,712945.5909943716
BARNES International Realty,real_estate_agent,Москва,sale,flat,7,8,-1,340.0,490000000.0,2012,-1,-1,-1,10 м²,Арбат,Большой Афанасьевский переулок,28,Арбатская,Афанасьевский,1441176.4705882352
Среда,developer,Москва,sale,flat,6,13,1,23.5,12186207.0,2027,Монолитный,Предчистовая,"11,3 м²",5 м²,Очаково-Матвеевское,Очаково мкр,к5.5,Аминьевская,Среда на Лобачевского ЖК,518562.0
Whitewill,real_estate_agent,Москва,sale,flat,2,4,3,137.9,255000000.0,-1,-1,-1,53 м²,22 м²,Хамовники,Пречистенская набережная,7,Парк Культуры,Кленовый DOM,1849166.0623640318
NF GROUP,real_estate_agent,Москва,sale,flat,4,7,4,120.1,127000000.0,1890,-1,-1,-1,14 м²,Пресненский,Тверской бульвар,19,Тверская,,1057452.1232306412
КОРТРОС,developer,Москва,sale,flat,12,14,3,76.2,36854130.0,2025,Монолитно-кирпичный,"Без отделки, предчистовая","39,2 м²","17,6 м²",Пресненский,Шмитовский проезд,39к7,Шелепиха,Headliner,483650.0
Whitewill,real_estate_agent,Москва,sale,flat,5,31,3,86.4,43000000.0,-1,-1,-1,"48,7 м²",15 м²,Хорошево-Мневники,Карамышевская набережная,2А,Народное Ополчение,Утесов,497685.18518518517
Whitewill,real_estate_agent,Москва,sale,flat,12,19,2,84.0,59000000.0,-1,-1,-1,63 м²,16 м²,Хорошево-Мневники,Шелепихинская набережная,34к2,Шелепиха,Сердце Столицы,702380.9523809524
Kalinka Group,real_estate_agent,Москва,sale,flat,7,12,4,190.0,190000000.0,-1,-1,-1,-1,-1,Тверской,1-й Тверской-Ямской переулок,11,Маяковская,,1000000.0
Whitewill,real_estate_agent,Москва,sale,flat,48,56,5,167.8,79000000.0,2024,-1,-1,100 м²,45 м²,Раменки,проспект Генерала Дорохова,49к2,Аминьевская,Will Towers,470798.5697258641
BARNES International Realty,real_estate_agent,Москва,sale,flat,4,6,4,192.0,115000000.0,1913,-1,-1,-1,"16,7 м²",Тверской, Малая Дмитровка,23/15С1,Пушкинская,,598958.3333333334
Time Property,real_estate_agent,Москва,sale,flat,22,41,4,110.0,59000000.0,-1,-1,-1,-1,"17,4 м²",Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы,536363.6363636364
ID 129501929,developer,Москва,sale,flat,2,26,2,46.6,21759348.0,2027,Монолитно-кирпичный,Без отделки,-1,-1,Нагатинский затон,,,Южный порт,Дрим Рива ЖК,466938.79828326177
Whitewill,real_estate_agent,Москва,sale,flat,5,7,-1,366.0,820208201.0,2017,-1,-1,255 м²,45 м²,Хамовники, Ефремова,19к2,Спортивная,Knightsbridge Private Park,2241006.013661202
Soul Estate,real_estate_agent,Москва,sale,flat,11,12,-1,306.0,245000000.0,-1,-1,-1,-1,"21,4 м²",Раменки, Сергея Бондарчука,4,Мичуринский проспект,Река,800653.5947712419
Донстрой,developer,Москва,sale,flat,9,12,1,57.1,55923740.0,2026,Монолитный,"Без отделки, чистовая с мебелью",13 м²,"24,8 м²",Раменки, Сергея Бондарчука,2,Мичуринский проспект,Река,979400.0
Whitewill,real_estate_agent,Москва,sale,flat,12,16,-1,469.0,560000000.0,2009,-1,-1,195 м²,40 м²,Арбат, Новый Арбат,27,Смоленская,Новый Арбат,1194029.8507462686
ГК Сумма Элементов,developer,Москва,sale,flat,11,85,1,50.71,43534384.0,2027,Монолитный,Без отделки,"38,3 м²",-1,Пресненский,Московский международный деловой центр Москва-Сити тер.,,Москва-Сити,Дом Дау,858497.0222835733
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,Москва,sale,flat,2,6,5,240.0,326007200.0,1913,-1,-1,160 м²,16 м²,Арбат,Поварская ,28С1,Арбатская,,1358363.3333333333
Kalinka Group,real_estate_agent,Москва,sale,flat,15,32,2,63.0,76000000.0,2023,-1,-1,-1,-1,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9,1206349.2063492064
Анна Мызникова,realtor,Москва,sale,flat,8,69,4,130.0,145000000.0,2023,-1,-1,90 м²,15 м²,Пресненский,Краснопресненская набережная,14Ак1,Москва-Сити,Capital Towers,1115384.6153846155
Whitewill,real_estate_agent,Москва,sale,flat,47,57,-1,207.0,200000000.0,-1,-1,-1,109 м²,21 м²,Хорошевский,Чапаевский переулок,3,Аэропорт,Триумф-Палас,966183.5748792271
Whitewill,real_estate_agent,Москва,sale,flat,2,8,4,141.5,230000000.0,2019,-1,-1,79 м²,10 м²,Якиманка,Софийская набережная,34,Новокузнецкая,Софийский,1625441.6961130742
Whitewill,real_estate_agent,Москва,sale,flat,6,10,5,322.0,275000000.0,2023,-1,-1,250 м²,50 м²,Хорошево-Мневники, Нижние Мневники,10,Терехово ,Остров,854037.2670807453
ID 99113350,realtor,Москва,sale,flat,5,5,2,40.0,11950000.0,-1,-1,-1,23 м²,6 м²,Рязанский,Яснополянская ,3К2,Окская,,298750.0
Аврора Проперти,real_estate_agent,Москва,sale,flat,2,18,3,153.7,56000000.0,-1,-1,-1,-1,"18,6 м²",Ломоносовский, Архитектора Власова,6,Профсоюзная,Вавилово,364346.1288223813
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,Москва,sale,flat,5,24,3,75.0,56000000.0,-1,-1,-1,43 м²,20 м²,Хорошево-Мневники,Шелепихинская набережная,34к3зд7,Шелепиха,Сердце Столицы,746666.6666666666
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,Москва,sale,flat,31,33,4,135.0,64000000.0,2023,-1,-1,"111,2 м²",12 м²,Хорошево-Мневники,Причальный проезд,10к1,Шелепиха,Level Причальный,474074.0740740741
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,Москва,sale,flat,12,19,4,140.0,72000000.0,-1,-1,-1,95 м²,25 м²,Хорошево-Мневники,Шелепихинская набережная,34к2зд3,Шелепиха,Сердце Столицы,514285.71428571426
Lars Real Estate,real_estate_agent,Москва,sale,flat,4,25,4,164.2,170000000.0,2020,-1,-1,100 м²,37 м²,Аэропорт,Ленинградский проспект,36с40,Динамо,ВТБ Арена парк,1035322.7771010963
Apple Real Estate,real_estate_agent,Москва,sale,flat,7,7,4,273.8,765000000.0,-1,-1,-1,-1,21 м²,Хамовники,Большой Левшинский переулок,11,Смоленская,Дворянское гнездо,2794010.226442659
Алексей Рыбаков,realtor,Москва,sale,flat,5,5,1,15.5,6850000.0,1958,-1,-1,"13,3 м²",-1,Головинский,Солнечногорская ,7к1,Моссельмаш,,441935.48387096776
Аврора Проперти,real_estate_agent,Москва,sale,flat,1,18,2,105.8,36500000.0,-1,-1,-1,-1,-1,Ломоносовский, Архитектора Власова,6,Профсоюзная,Вавилово,344990.5482041588
BARNES International Realty,real_estate_agent,Москва,sale,flat,25,46,3,57.2,44000000.0,2023,-1,-1,-1,16 м²,Даниловский,Дубининская ,59А,Павелецкая,Павелецкая Сити,769230.7692307692
Роман Караваев,realtor,Москва,sale,flat,35,42,4,84.3,53990000.0,2023,-1,-1,40 м²,27 м²,Котловка,Севастопольский проспект,22А,Крымская,Eniteo,640450.7710557532
Kalinka Group,real_estate_agent,Москва,sale,flat,16,16,3,123.0,62990000.0,2021,-1,-1,-1,-1,Даниловский,Павелецкая набережная,6А,Крестьянская застава,Резиденции Композиторов,512113.8211382114
BARNES International Realty,real_estate_agent,Москва,sale,flat,14,14,3,93.6,70200000.0,2018,-1,-1,-1,"22,4 м²",Даниловский, Архитектора Щусева,2к1,ЗИЛ,ЗИЛАРТ,750000.0
Homeapp,real_estate_agent,Москва,sale,flat,17,44,2,120.0,102000000.0,2017,-1,-1,35 м²,46 м²,Раменки,Минская ,2,Минская,Долина Сетунь,850000.0
Whitewill,real_estate_agent,Москва,sale,flat,4,14,3,119.3,105000000.0,-1,-1,-1,"38,6 м²","61,3 м²",Замоскворечье,Мытная ,7с1,Серпуховская,Английский квартал,880134.1156747695
Point Estate Город,real_estate_agent,Москва,sale,flat,11,41,3,115.0,117000000.0,-1,-1,-1,95 м²,15 м²,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк,1017391.304347826
Point Estate Город,real_estate_agent,Москва,sale,flat,37,41,5,187.0,175000000.0,-1,-1,-1,149 м²,-1,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк,935828.8770053476
Apple Real Estate,real_estate_agent,Москва,sale,flat,41,41,5,165.0,250000000.0,-1,-1,-1,62 м²,30 м²,Раменки,1-й Сетуньский проезд,8,Кутузовская,Hide,1515151.5151515151
NF GROUP,real_estate_agent,Москва,sale,flat,8,8,4,148.3,290000000.0,2021,-1,-1,-1,-1,Даниловский,Хавская ,24,Шаболовская,Композиция №24,1955495.6169925826
Времена года,real_estate_agent,Москва,sale,flat,4,7,4,173.6,451500000.0,-1,-1,-1,-1,19 м²,Хамовники, Ефремова,19к2,Спортивная,Knightsbridge Private Park,2600806.4516129033
NF GROUP,real_estate_agent,Москва,sale,flat,7,7,4,273.8,765000000.0,2003,-1,-1,"245,6 м²",21 м²,Хамовники,Большой Левшинский переулок,11,Смоленская,Дворянское гнездо,2794010.226442659
Андрей Куролесов,realtor,Москва,sale,flat,2,5,-1,16.0,4950000.0,-1,-1,-1,-1,-1,Восточное Измайлово,14-я Парковая ,4,Первомайская,,309375.0
Алексей Рыбаков,realtor,Москва,sale,flat,5,5,1,15.7,6850000.0,1958,-1,-1,"13,2 м²",-1,Головинский,Солнечногорская ,7к1,Моссельмаш,,436305.73248407646
СТРОЙИНВЕСТ,real_estate_agent,Москва,sale,flat,17,25,1,36.3,10496388.0,2022,-1,-1,16 м²,"10,4 м²",Некрасовка, Липчанского,10,Некрасовка,Некрасовка,289156.69421487604
ID 16319843,realtor,Москва,sale,flat,5,5,2,41.0,13000000.0,1966,-1,-1,"27,5 м²","5,5 м²",Новогиреево,Зеленый проспект,87К1,Новогиреево,,317073.1707317073
СТРОЙИНВЕСТ,real_estate_agent,Москва,sale,flat,17,26,2,63.8,14577524.0,2022,-1,-1,"36,8 м²","11,7 м²",Некрасовка, Липчанского,10,Некрасовка,Некрасовка,228487.83699059562
Whitewill,real_estate_agent,Москва,sale,flat,7,26,3,84.3,35000000.0,2025,-1,Чистовая,50 м²,9 м²,Хорошево-Мневники,к5/1,к5/1,Шелепиха,Сидней Сити ЖК,415183.8671411625
Whitewill,real_estate_agent,Москва,sale,flat,3,23,3,104.0,38400000.0,-1,-1,-1,56 м²,12 м²,Хорошево-Мневники, Народного Ополчения,11,Народное Ополчение,Wellton park,369230.76923076925
ID 12604751,homeowner,Москва,sale,flat,8,42,3,67.0,38800000.0,2023,-1,-1,42 м²,23 м²,Котловка,Севастопольский проспект,22А,Крымская,Eniteo,579104.4776119404
Villagio Realty,real_estate_agent,Москва,sale,flat,7,14,3,74.0,41000000.0,2024,-1,-1,38 м²,-1,Даниловский,Г мкр,2,Крестьянская застава,Форивер ЖК,554054.0540540541
Whitewill,real_estate_agent,Москва,sale,flat,6,46,3,65.8,45000000.0,2023,-1,-1,38 м²,12 м²,Даниловский,Дубининская ,59А,Павелецкая,Павелецкая Сити,683890.5775075988
PANDA ESTATE,real_estate_agent,Москва,sale,flat,8,28,2,60.0,59000000.0,-1,-1,-1,-1,10 м²,Якиманка,Мытная ,40к4,Октябрьская,Sky House,983333.3333333334
Whitewill,real_estate_agent,Москва,sale,flat,24,79,1,72.0,70000000.0,2019,-1,-1,50 м²,15 м²,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS,972222.2222222222
Whitewill,real_estate_agent,Москва,sale,flat,13,22,4,101.0,69900000.0,-1,-1,-1,75 м²,20 м²,Хорошево-Мневники,Живописная ,21А,Серебряный Бор,Дом Серебряный Бор,692079.207920792
Whitewill,real_estate_agent,Москва,sale,flat,3,13,4,93.0,71900000.0,-1,-1,-1,60 м²,20 м²,Раменки,Ломоносовский проспект,36,Ломоносовский проспект,Счастье на Ломоносовском,773118.2795698924
MHEstate - Элитная недвижимость,real_estate_agent,Москва,sale,flat,4,22,4,136.6,73000000.0,2024,-1,-1,"74,8 м²","22,3 м²",Хорошево-Мневники, Нижние Мневники,9,Терехово ,Остров,534407.027818448
Contact Real Estate,real_estate_agent,Москва,sale,flat,23,40,4,85.7,81415000.0,2027,-1,Чистовая,53 м²,15 м²,Раменки,,к1,Поклонная,Нова ЖК,950000.0
Contact Real Estate,real_estate_agent,Москва,sale,flat,13,44,4,117.0,90000000.0,2017,-1,-1,-1,"15,5 м²",Раменки,Минская ,2,Минская,Долина Сетунь,769230.7692307692
BARNES International Realty,real_estate_agent,Москва,sale,flat,2,19,3,115.0,90000000.0,2013,-1,-1,-1,-1,Раменки,Ломоносовский проспект,25к5,Университет,Dominion,782608.695652174
Whitewill,real_estate_agent,Москва,sale,flat,10,14,5,127.22,90000000.0,-1,-1,-1,"80,1 м²","8,3 м²",Раменки,проспект Генерала Дорохова,39к2Г,Минская,Собрание клубных домов West Garden,707435.9377456375
Verges of estate,real_estate_agent,Москва,sale,flat,1,10,3,120.0,98989000.0,2025,-1,-1,-1,-1,Дорогомилово, Братьев Фонченко,,Парк Победы,Victory Park Residences,824908.3333333334
Whitewill,real_estate_agent,Москва,sale,flat,16,41,3,91.0,110000000.0,-1,-1,-1,76 м²,10 м²,Хорошевский,Ленинградский проспект,37/5,Аэропорт,Прайм Парк,1208791.2087912087
Whitewill,real_estate_agent,Москва,sale,flat,66,79,3,113.0,120000000.0,2019,-1,-1,30 м²,34 м²,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS,1061946.9026548672
Contact Real Estate,real_estate_agent,Москва,sale,flat,2,6,3,125.0,130000000.0,-1,-1,-1,-1,15 м²,Замоскворечье,Большой Ордынский переулок,4С4,Третьяковская,Собрание клубных домов ORDYNKA,1040000.0
SKYEST,real_estate_agent,Москва,sale,flat,27,41,4,138.0,146000000.0,2021,-1,-1,102 м²,10 м²,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк,1057971.0144927537
Whitewill,real_estate_agent,Москва,sale,flat,5,20,4,115.0,153000000.0,-1,-1,-1,76 м²,33 м²,Пресненский,Мантулинская ,9к6,Москва-Сити,City Park,1330434.7826086956
Whitewill,real_estate_agent,Москва,sale,flat,2,5,2,106.0,155000000.0,-1,-1,-1,25 м²,25 м²,Тверской,Никольская ,10,Площадь Революции,St. Nickolas,1462264.1509433961
Whitewill,real_estate_agent,Москва,sale,flat,8,53,5,231.0,157000000.0,2011,-1,-1,"114,6 м²","21,2 м²",Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской,679653.6796536796
BARNES International Realty,real_estate_agent,Москва,sale,flat,2,13,3,120.0,160000000.0,2017,-1,-1,-1,5 м²,Пресненский,2-я Черногрязская ,6к2,Улица 1905 года,RedSide,1333333.3333333333
Delight Realty,real_estate_agent,Москва,sale,flat,3,20,4,130.0,165000000.0,2019,-1,-1,-1,"26,9 м²",Пресненский,Мантулинская ,9к2,Москва-Сити,City Park,1269230.7692307692
Whitewill,real_estate_agent,Москва,sale,flat,37,37,5,187.2,175000000.0,2022,-1,-1,118 м²,30 м²,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк,934829.0598290599
